,,,Tháng 07/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Đã chốt,,,,,,,Tạm lock,,,,,,Phòng trống,,,,,Bảo trì,,,,,Giá đặc biệt,,,,,,,,
,,,,,"CUỐI TUẦN BÁN CẶP, LẺ INBOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 STT, Mã Căn,Số PN," Link ảnh, thông tin",Tiện ích đặc biệt,Ngày thường, Thứ 6, Thứ 7 , Chủ nhật, Cặp T6-T7, T4,T5,T6,T7, CN,T2, T3,T4, T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,Tiện ích đặc biệt
1, BT9-32,6, Link ảnh- thông tin,"Phòng karaoke, Bàn Bi a.  View vịnh, thành phố",7,9,11,7,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, Bàn Bi a.  View vịnh, thành phố"
2, BT9-14,6,Link ảnh- thông tin,"Phòng karaoke, Bàn Bi a. ",6.5,8.5,10.5,6.5,,1,2,3,4,5.5tr,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, Bàn Bi a. "
3,BT6B-43,5,"Link ảnh, thông tin","Phòng karaoke, View Golf",6,7,9,6,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, View Golf"
4,BT8-6B,9+1,"Link ảnh, thông tin","Sân vườn rộng 1000 mét, Bể cá Koi",11.5,16,17.5,11.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Sân vườn rộng 1000 mét, Bể cá Koi"
5, BT3-6A,5+2," Link ảnh, thông tin"," Sân vườn rộng, View Vịnh",9.5,12.5,12.5,9.5,,1,2,7.5tr,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Sân vườn rộng, View Vịnh"
6,BT9-45,5,"Link ảnh, thông tin","Dàn Karaoke, bi a, bi lắc, View vịnh",5.5tr 2đ -500,7,11(cặp 16),6,16,1,2,3,4,4.5tr,6,7,4.5tr,4.5tr,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Dàn Karaoke, bi a, bi lắc, View vịnh"
7, BT6-33,5, Link ảnh- thông tin, View nội khu,5.5,7,8,7,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,10tr,19,20,21,22,23,24,25,26,27,28,29,30,31, View nội khu
8,BT6-37,5,Link ảnh- thông tin, View nội khu,5.5,7,8,7,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, View nội khu
9,BT6-11,5,Link ảnh- thông tin,"Sân vườn, View nội khu",6.5,8,9,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Sân vườn, View nội khu"
10,BT6-10,5,Link ảnh- thông tin,  View nội khu,6,8,8,6,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, View nội khu
11,BT8-15,5,"Link ảnh, thông tin","Vườn rộng, View Vịnh, thành phố.",6.5,8,9,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Vườn rộng, View Vịnh, thành phố."
12, BT9-03,5, Link ảnh- thông tin, View nội khu,6,7,8,7,,1,2,3,4,5,6,7,8,9,10,10tr,12,13,14,15,16,17,11tr,19,20,21,22,23,24,25,26,27,28,29,30,31, View nội khu
13,BT9-25,5,"Link ảnh, thông tin","Phòng karaoke, View nội Khu",6.5,8,9,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, View nội Khu"
14,BT9-34,6,"Link ảnh, thông tin","Phòng karaoke, View Vịnh, TP, Vườn rộng",7,8,9.5,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, View Vịnh, TP, Vườn rộng"
15, BT9-46,6,"Link ảnh, thông tin","View Vịnh, Thành Phố",6.5,8,9,8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"View Vịnh, Thành Phố"
16,BT9-12A,6,"Link ảnh, thông tin","Phòng karaoke, Bi a View Nội Khu, sân Golf",7.5,9.5,9.5,7.5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, Bi a View Nội Khu, sân Golf"
17,BT6-24,5,Link ảnh- thông tin,  View nội khu,5.5,7.5,7.5,5.5,,1,2,3,8.5tr,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, View nội khu
18,BT12-41,5,"Link ảnh, thông tin","Phòng karaoke, vườn rộng, Bi a, View Vịnh",9,11,11,9,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Phòng karaoke, vườn rộng, Bi a, View Vịnh"
19, BT12-44,5, Link ảnh- thông tin," View vịnh, sân vườn, phòng karaoke",7,9,9,7,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," View vịnh, sân vườn, phòng karaoke"
20, BT6B-08,4,"Link ảnh, thông tin"," Phòng karaoke, Sân vườn rộng, View golf",5,7,7,5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Phòng karaoke, Sân vườn rộng, View golf"
21, BT6b-6B,5,"Link ảnh, thông tin","Sân vườn rộng, View Golf",5,7,7,5,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Sân vườn rộng, View Golf"
