,,,Tháng 7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Đã cọc,,,,,,Tạm lock,,,,,,Phòng trống,,,,,Bảo trì,,,,Giá đặc biệt,,,Lễ bán cặp,,,,,,,
,,,,, Cuối Tuần Bán cặp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 STT, Link mã thông tin ảnh căn,Số PN,Link,Tiện ích đặc biệt,Ngày thường , Chủ nhật, Thứ 6, Thứ 7, T4,T5,T6,T7, CN,T2, T3,T4, T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,Tiện ích đặc biệt, Thang máy
1,M6-33,7,"Ảnh, thông tin"," Gần bãi biển, Bể bơi rộng",9,9,26tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Gần bãi biển, Bể bơi rộng", Có
2,C7-21,5,"Ảnh, thông tin", Bể bơi riêng,7,8,23tr/2đ,,1,2,3,4,5,6,7,8,9,25.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
3,C6-12,5,"Ảnh, thông tin", Bể bơi riêng,7,8,23tr/2đ,,1,2,3,4,5,6,7,8,9,25.5tr,,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31, Bể bơi riêng, Không
4,M5-37,7,Ảnh- thông tin,"Bể bơi riêng, mới nhất Sun",9,11,28tr/2đ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Bể bơi riêng, mới nhất Sun",Có
5,M2-12,8,Ảnh- Thông tin,"Bể bơi riêng, Bàn Bi-A mới hoạt động 3/2026",11,13,34tr/2đ,,10.5,2,3,4,5,6,7,8,9,10,22tr,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Bể bơi riêng, Bàn Bi-A mới hoạt động 3/2026",Có
