,,,Tháng 7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Đã cọc,,,,,,Tạm lock,,,,,,Phòng trống,,,,,Bảo trì,,,,Quỹ ôm hoặc giá đặc biệt,,,,,,,,,
,,,,,,, ,,,,,,,,,,),,,,,,,,,,,,,,,,,,,,,,,,
 STT,Tên- Mã Căn,Số PN,Link,Tiện ích đặc biệt, Ngày thường,  Chủ nhật, Thứ 6, Thứ 7,Chiết khấu, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,T7, CN,T2, T3, T4,T5,T6,Tiện ích đặc biệt
1,Kingly,15,Ảnh - Thông tin," Mặt biển, 1000m2, bàn bi a",18tr,22tr,22tr,26tr, Giá thu,1,14tr,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Mặt biển, 1000m2, bàn bi a"
2,The princess,9,Ảnh - Thông tin,"View panorama, Bàn Bi a",15,15,20tr,20tr ( bán cặp lẻ inbox),10%,1,2,3,28tr,5,6,7,8,9,10,28tr,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"View panorama, Bàn Bi a"
3,Tahaghi,9,Ảnh -Thông Tin,"Mặt biển, sân vườn tuyệt đẹp,1700m2",20,20,26.5,30,10%,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"Mặt biển, sân vườn tuyệt đẹp,1700m2"
4,Santorini,5,Ảnh - Thông tin,"Kiến trúc độc đáo, view panorama",6.5,6.5 tr,6.5tr,Full, Giá thu,1,2,3,15tr,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,15tr,26,27,28,29,30,31,"Kiến trúc độc đáo, view panorama"
5, Calmaria,10, Ảnh- Thông tin," Sân vườn rộng, sân bóng rổ, xe đạp, vườn rau,...",13.36,15tr,17.76,17.76, Giá thu,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31," Sân vườn rộng, sân bóng rổ, xe đạp, vườn rau,..."
6,Green Field,10,Ảnh - Thông tin,"View Panaroma, Sân vườn 1000m2",16,18,40tr/ 2 đêm lẻ inbox,, Giá thu,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"View Panaroma, Sân vườn 1000m2"
7,B01 Villa,7,Ảnh - Thông tin,"View Panaroma, Sân vườn rộng",8,8,24tr/2đ Lẻ thứ 7 15tr,, Giá thu,1,2,3,4,5,6,7,8,9,10.5,15tr,12,13,14,15,16,17,15tr,19,20,21,22,23,24,15tr,26,27,28,29,30,31,"View Panaroma, Sân vườn rộng"
,,,,,,,,, Giá thu,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,Lưu ý nhấp vào dòng chữ xanh trong cột để xem linh ảnh thông tin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
